Map,Team ,Round,Side,Time to engagement,Time at Plant,Site,Plant XvY,Result,Pistol,Date,Tier
TRINITY,Lotus,11,Attack,01:32,01:11,A,4v1,Win,,03-06-2026,
TRINITY,Lotus,12,Attack,01:28,01:07,C,3v2,Win,,03-06-2026,
TRINITY,Lotus,13,Defence,01:13,,,,Win,,03-06-2026,
TRINITY,Lotus,14,Defence,01:16,,,,Win,,03-06-2026,
TRINITY,Lotus,15,Defence,01:30,,,,Win,,03-06-2026,
TRINITY,Lotus,16,Defence,01:22,,,,Win,,03-06-2026,
TRINITY,Lotus,17,Defence,01:31,,,,Win,,03-06-2026,
TRINITY,Lotus,18,Defence,01:32,01:20,C,3v4,Win,,03-06-2026,
TRINITY,Lotus,19,Defence,01:01,0.29,B,5v4,Win,,03-06-2026,
TRINITY,Lotus,20,Defence,01:22,,,,Win,,03-06-2026,
TRINITY,Lotus,21,Defence,01:19,01:19,B,5v5,Loss,,03-06-2026,
TRINITY,Lotus,22,Defence,01:34,01:01,C,4v3,Win,,03-06-2026,
TRINITY,Lotus,23,Defence,01:29,,,,Win,,03-06-2026,
TRINITY,Lotus,24,Defence,01:30,01:03,C,1v4,Loss,,03-06-2026,
