Column 1,Player,Rounds,Kills,Deaths,Assists,ACS,Agent,FK,Plants,Defuses,FD,FK+FD,FBSR,FKPR,KPR,Date,K+A PR,Atk_Entry,Multi_Kills,Anchor_Time,Result,FD Def
Bind,glacier,24,14,17,8,163,Waylay,2,1,0,3,5,0.40,0.08,0.58,03-13-2026,0.92,0.5,0.14,,Win,1
Pearl,glacier,24,23,19,4,293,Waylay,9,0,0,5,14,0.64,0.38,0.96,03-13-2026,1.13,0.55,0.14,,Loss,2
Pearl,Yosemite,24,19,16,3,231,Killjoy,3,0,0,4,7,0.43,0.13,0.79,03-13-2026,0.92,,0.12,,Loss,3
Pearl,SiuFatBB,24,14,17,2,176,Sova,2,3,1,1,3,0.67,0.08,0.58,03-13-2026,0.67,,0.16,,Loss,1
Pearl,jowa,24,11,22,5,131,Tejo,1,0,1,2,3,0.33,0.04,0.46,03-13-2026,0.67,,0.2,,Loss,2
Pearl,Spring,24,8,17,18,127,Astra,1,1,0,4,5,0.20,0.04,0.33,03-13-2026,1.08,,0.14,0.34,Loss,3
Haven,Yosemite,24,24,13,5,276,Veto,4,1,0,2,6,0.67,0.17,1.00,03-13-2026,1.21,,0.21,,Win,1
Haven,glacier,24,23,16,7,258,Iso,7,0,0,5,12,0.58,0.29,0.96,03-13-2026,1.25,0.5,0.22,,Win,2
Haven,Spring,24,14,13,5,171,Astra,1,0,1,3,4,0.25,0.04,0.58,03-13-2026,0.79,,0.14,0.38,Win,2
Haven,jowa,24,13,16,9,164,Yoru,1,2,1,1,2,0.50,0.04,0.54,03-13-2026,0.92,,0.14,,Win,0
Haven,SiuFatBB,24,13,13,9,146,Sova,2,3,1,1,3,0.67,0.08,0.54,03-13-2026,0.92,,0.16,,Win,1
Pearl,Yosemite,24,17,22,5,226,Killjoy,2,0,0,4,6,0.33,0.08,0.71,03-13-2026,0.92,,0.18,,Loss,4
Pearl,Spring,24,18,16,8,194,Astra,3,0,0,3,6,0.50,0.13,0.75,03-13-2026,1.08,,0.12,0.36,Loss,3
Pearl,jowa,24,15,19,7,191,Tejo,0,3,1,2,2,0.00,0.00,0.63,03-13-2026,0.92,,0.14,,Loss,1
Pearl,glacier,24,11,22,3,140,Waylay,4,0,0,6,10,0.40,0.17,0.46,03-13-2026,0.58,0.4,0,,Loss,2
Pearl,SiuFatBB,24,9,21,4,123,Sova,1,2,0,2,3,0.33,0.04,0.38,03-13-2026,0.54,,0.12,,Loss,1
Bind,Spring,24,18,15,4,222,Viper,3,3,0,1,4,0.75,0.13,0.75,03-14-2026,0.92,,0.19,0.34,Loss,0
Bind,glacier,24,19,16,2,213,Waylay,4,0,1,2,6,0.67,0.17,0.79,03-14-2026,0.88,0.54,0.2,,Loss,1
Bind,Yosemite,24,14,15,13,182,Brimstone,2,2,0,1,3,0.67,0.08,0.58,03-14-2026,1.13,,0.14,,Loss,1
